,stock_1,stock_2,stock_1_weight,stock_2_weight,portfolio_return,portfolio_risk
0,amzn,bp,0.0,1.0,0.02041,35.77427
0,amzn,bp,0.01,0.99,0.02183,67.63713
0,amzn,bp,0.02,0.98,0.02325,240.14041
0,amzn,bp,0.03,0.97,0.02467,553.28409
0,amzn,bp,0.04,0.96,0.0261,1007.06819
0,amzn,bp,0.05,0.95,0.02752,1601.49271
0,amzn,bp,0.06,0.94,0.02894,2336.55763
0,amzn,bp,0.07,0.9299999999999999,0.03036,3212.26297
0,amzn,bp,0.08,0.92,0.03179,4228.60872
0,amzn,bp,0.09,0.91,0.03321,5385.59489
0,amzn,bp,0.1,0.9,0.03463,6683.22147
0,amzn,bp,0.11,0.89,0.03606,8121.48846
0,amzn,bp,0.12,0.88,0.03748,9700.39586
0,amzn,bp,0.13,0.87,0.0389,11419.94368
0,amzn,bp,0.14,0.86,0.04032,13280.13191
0,amzn,bp,0.15,0.85,0.04175,15280.96056
0,amzn,bp,0.16,0.84,0.04317,17422.42961
0,amzn,bp,0.17,0.83,0.04459,19704.53908
0,amzn,bp,0.18,0.8200000000000001,0.04601,22127.28897
0,amzn,bp,0.19,0.81,0.04744,24690.67926
0,amzn,bp,0.2,0.8,0.04886,27394.70997
0,amzn,bp,0.21,0.79,0.05028,30239.38109
0,amzn,bp,0.22,0.78,0.05171,33224.69263
0,amzn,bp,0.23,0.77,0.05313,36350.64458
0,amzn,bp,0.24,0.76,0.05455,39617.23694
0,amzn,bp,0.25,0.75,0.05597,43024.46972
0,amzn,bp,0.26,0.74,0.0574,46572.3429
0,amzn,bp,0.27,0.73,0.05882,50260.8565
0,amzn,bp,0.28,0.72,0.06024,54090.01052
0,amzn,bp,0.29,0.71,0.06166,58059.80495
0,amzn,bp,0.3,0.7,0.06309,62170.23979
0,amzn,bp,0.31,0.69,0.06451,66421.31504
0,amzn,bp,0.32,0.6799999999999999,0.06593,70813.03071
0,amzn,bp,0.33,0.6699999999999999,0.06736,75345.38679
0,amzn,bp,0.34,0.6599999999999999,0.06878,80018.38328
0,amzn,bp,0.35000000000000003,0.6499999999999999,0.0702,84832.02018
0,amzn,bp,0.36,0.64,0.07162,89786.2975
0,amzn,bp,0.37,0.63,0.07305,94881.21524
0,amzn,bp,0.38,0.62,0.07447,100116.77338
0,amzn,bp,0.39,0.61,0.07589,105492.97194
0,amzn,bp,0.4,0.6,0.07732,111009.81091
0,amzn,bp,0.41000000000000003,0.59,0.07874,116667.2903
0,amzn,bp,0.42,0.5800000000000001,0.08016,122465.41009
0,amzn,bp,0.43,0.5700000000000001,0.08158,128404.1703
0,amzn,bp,0.44,0.56,0.08301,134483.57093
0,amzn,bp,0.45,0.55,0.08443,140703.61196
0,amzn,bp,0.46,0.54,0.08585,147064.29341
0,amzn,bp,0.47000000000000003,0.53,0.08727,153565.61528
0,amzn,bp,0.48,0.52,0.0887,160207.57755
0,amzn,bp,0.49,0.51,0.09012,166990.18024
0,amzn,bp,0.5,0.5,0.09154,173913.42334
0,amzn,bp,0.51,0.49,0.09297,180977.30686
0,amzn,bp,0.52,0.48,0.09439,188181.83079
0,amzn,bp,0.53,0.47,0.09581,195526.99513
0,amzn,bp,0.54,0.45999999999999996,0.09723,203012.79988
0,amzn,bp,0.55,0.44999999999999996,0.09866,210639.24505
0,amzn,bp,0.56,0.43999999999999995,0.10008,218406.33063
0,amzn,bp,0.5700000000000001,0.42999999999999994,0.1015,226314.05663
0,amzn,bp,0.58,0.42000000000000004,0.10292,234362.42303
0,amzn,bp,0.59,0.41000000000000003,0.10435,242551.42985
0,amzn,bp,0.6,0.4,0.10577,250881.07709
0,amzn,bp,0.61,0.39,0.10719,259351.36473
0,amzn,bp,0.62,0.38,0.10862,267962.29279
0,amzn,bp,0.63,0.37,0.11004,276713.86127
0,amzn,bp,0.64,0.36,0.11146,285606.07015
0,amzn,bp,0.65,0.35,0.11288,294638.91945
0,amzn,bp,0.66,0.33999999999999997,0.11431,303812.40916
0,amzn,bp,0.67,0.32999999999999996,0.11573,313126.53929
0,amzn,bp,0.68,0.31999999999999995,0.11715,322581.30982
0,amzn,bp,0.6900000000000001,0.30999999999999994,0.11857,332176.72078
0,amzn,bp,0.7000000000000001,0.29999999999999993,0.12,341912.77214
0,amzn,bp,0.71,0.29000000000000004,0.12142,351789.46392
0,amzn,bp,0.72,0.28,0.12284,361806.79611
0,amzn,bp,0.73,0.27,0.12427,371964.76871
0,amzn,bp,0.74,0.26,0.12569,382263.38173
0,amzn,bp,0.75,0.25,0.12711,392702.63516
0,amzn,bp,0.76,0.24,0.12853,403282.529
0,amzn,bp,0.77,0.22999999999999998,0.12996,414003.06326
0,amzn,bp,0.78,0.21999999999999997,0.13138,424864.23793
0,amzn,bp,0.79,0.20999999999999996,0.1328,435866.05301
0,amzn,bp,0.8,0.19999999999999996,0.13422,447008.5085
0,amzn,bp,0.81,0.18999999999999995,0.13565,458291.60441
0,amzn,bp,0.8200000000000001,0.17999999999999994,0.13707,469715.34073
0,amzn,bp,0.8300000000000001,0.16999999999999993,0.13849,481279.71747
0,amzn,bp,0.84,0.16000000000000003,0.13992,492984.73461
0,amzn,bp,0.85,0.15000000000000002,0.14134,504830.39217
0,amzn,bp,0.86,0.14,0.14276,516816.69015
0,amzn,bp,0.87,0.13,0.14418,528943.62854
0,amzn,bp,0.88,0.12,0.14561,541211.20734
0,amzn,bp,0.89,0.10999999999999999,0.14703,553619.42655
0,amzn,bp,0.9,0.09999999999999998,0.14845,566168.28617
0,amzn,bp,0.91,0.08999999999999997,0.14988,578857.78621
0,amzn,bp,0.92,0.07999999999999996,0.1513,591687.92667
0,amzn,bp,0.93,0.06999999999999995,0.15272,604658.70753
0,amzn,bp,0.9400000000000001,0.05999999999999994,0.15414,617770.12881
0,amzn,bp,0.9500000000000001,0.04999999999999993,0.15557,631022.1905
0,amzn,bp,0.96,0.040000000000000036,0.15699,644414.89261
0,amzn,bp,0.97,0.030000000000000027,0.15841,657948.23512
0,amzn,bp,0.98,0.020000000000000018,0.15983,671622.21805
0,amzn,bp,0.99,0.010000000000000009,0.16126,685436.8414
0,amzn,bp,1.0,0.0,0.16268,699392.10516
0,amzn,dis,0.0,1.0,0.02517,730.69203
0,amzn,dis,0.01,0.99,0.02654,1136.88371
0,amzn,dis,0.02,0.98,0.02792,1676.01321
0,amzn,dis,0.03,0.97,0.02929,2348.08055
0,amzn,dis,0.04,0.96,0.03067,3153.08571
0,amzn,dis,0.05,0.95,0.03205,4091.0287
0,amzn,dis,0.06,0.94,0.03342,5161.90951
0,amzn,dis,0.07,0.9299999999999999,0.0348,6365.72816
0,amzn,dis,0.08,0.92,0.03617,7702.48463
0,amzn,dis,0.09,0.91,0.03755,9172.17893
0,amzn,dis,0.1,0.9,0.03892,10774.81105
0,amzn,dis,0.11,0.89,0.0403,12510.381
0,amzn,dis,0.12,0.88,0.04167,14378.88878
0,amzn,dis,0.13,0.87,0.04305,16380.33439
0,amzn,dis,0.14,0.86,0.04442,18514.71782
0,amzn,dis,0.15,0.85,0.0458,20782.03909
0,amzn,dis,0.16,0.84,0.04717,23182.29818
0,amzn,dis,0.17,0.83,0.04855,25715.49509
0,amzn,dis,0.18,0.8200000000000001,0.04992,28381.62984
0,amzn,dis,0.19,0.81,0.0513,31180.70241
0,amzn,dis,0.2,0.8,0.05267,34112.7128
0,amzn,dis,0.21,0.79,0.05405,37177.66103
0,amzn,dis,0.22,0.78,0.05542,40375.54708
0,amzn,dis,0.23,0.77,0.0568,43706.37096
0,amzn,dis,0.24,0.76,0.05817,47170.13267
0,amzn,dis,0.25,0.75,0.05955,50766.83221
0,amzn,dis,0.26,0.74,0.06092,54496.46957
0,amzn,dis,0.27,0.73,0.0623,58359.04476
0,amzn,dis,0.28,0.72,0.06367,62354.55777
0,amzn,dis,0.29,0.71,0.06505,66483.00862
0,amzn,dis,0.3,0.7,0.06642,70744.39729
0,amzn,dis,0.31,0.69,0.0678,75138.72379
0,amzn,dis,0.32,0.6799999999999999,0.06917,79665.98811
0,amzn,dis,0.33,0.6699999999999999,0.07055,84326.19027
0,amzn,dis,0.34,0.6599999999999999,0.07192,89119.33025
0,amzn,dis,0.35000000000000003,0.6499999999999999,0.0733,94045.40806
